UniProt,Gene Name,Confidence,Expected Sensitivity,Expected Specificity
Q96EK7,FAM120B,0.01566705,0.364763973,0.56037134
Q96GW7,BCAN,0.35976185,0.689209553,0.087685091
Q96H12,MSANTD3,0.556964712,0.51349683,0.67131904
Q96HC4,PDLIM5,0.163111599,0.150986152,0.777979063
Q96JM7,L3MBTL3,0.928685313,0.122483695,0.867013154
Q96M27,PRRC1,0.116303217,0.031849947,0.445715596
Q96NW7,LRRC7,0.704962849,0.366236688,0.058292614
Q96PI1,SPRR4,0.554567728,0.911522442,0.433917425
Q96PT4,DUX3,0.099376426,0.021632695,0.349158581
Q99435,NELL2,0.385310273,0.985914283,0.017064395
Q99447,PCYT2,0.263818519,0.675886164,0.330419774
Q99836,MYD88,0.592855029,0.645582572,0.97558376
Q99986,VRK1,0.633297374,0.065103604,0.22917001
Q9BQ16,SPOCK3,0.433634575,0.979736599,0.044154552
Q9BQ52,ELAC2,0.232893381,0.478408647,0.989744335
Q9BR76,CORO1B,0.632513958,0.206823227,0.330215987
Q9BTY2,FUCA2,0.904853758,0.111532628,0.975469249
Q9BU76,MMTAG2,0.426870917,0.789304498,0.217597527
Q9BUV0,RSRP1,0.247559886,0.687605723,0.048159908
Q9BV73,CEP250,0.835519328,0.895015929,0.714659567
Q9BW66,CINP,0.655220148,0.67601984,0.732473553
Q9BWF3,RBM4,0.916115538,0.381155646,0.316014453
Q9BWK5,MRI,0.758338676,0.773546297,0.876319182
Q9BXP5,SRRT,0.009470412,0.137134747,0.045090549
Q9C099,LRRCC1,0.846222525,0.7344994,0.440051769
Q9GZN7,ROGDI,0.690217462,0.421167384,0.021943476
Q9H0F6,SHARPIN,0.330729473,0.909491074,0.97417613
Q9H0Q3,FXYD6,0.098955973,0.104443506,0.381034407
Q9H2D6,TRIOBP,0.92213511,0.420410674,0.605149044
Q9H4G4,GLIPR2,0.048987718,0.936507627,0.293108969
Q9H4I2,ZHX3,0.652539904,0.828129373,0.159203666
Q9H6S0,YTHDC2,0.68471378,0.601270521,0.207622844
Q9H7E9,C8orf33,0.731263984,0.815271046,0.395122372
Q9H869,YY1AP1,0.789611,0.584384529,0.830633694
Q9H8X2,IPPK,0.371893752,0.540795461,0.060639142
Q9H9L4,KANSL2,0.973655134,0.848109132,0.19772768
Q9HAP2,MLXIP,0.377212657,0.736612606,0.175232237
Q9HBI0,PARVG,0.620293216,0.34218208,0.15874845
Q9HC24,TMBIM4,0.313909053,0.082753079,0.389987993
Q9HC85,MB2,0.290007354,0.917559789,0.530888414
Q9HCB6,SPON1,0.29008129,0.661291537,0.167689359
Q9HCM3,KIAA1549,0.121307238,0.532245696,0.69307812
Q9HCS5,EPB41L4A,0.123432858,0.54032638,0.907913393
Q9HCS7,XAB2,0.100218134,0.770354077,0.866466874
Q9HCU4,CELSR2,0.306067727,0.938436962,0.803963451
Q9NP72,RAB18,0.148841705,0.143028015,0.307028074
Q9NP73,ALG13,0.199279344,0.793774979,0.327730465
Q9NP80,PNPLA8,0.633256762,8.14E-05,0.769545645
Q9NPA0,EMC7,0.380313482,0.650652015,0.117661539
Q9NPY3,CD93,0.794529892,0.783482743,0.609795987
Q9NR55,BATF3,0.171990943,0.190592303,0.954235079
Q9NRA8,EIF4ENIF1,0.223590204,0.844168193,0.26316322
Q9NRR5,UBQLN4,0.522817087,0.463129729,0.917668686
Q9NS37,CREBZF,0.440314479,0.604444251,0.235518095
Q9NU19,TBC1D22B,0.819288724,0.603578976,0.0198302
Q9NVV9,THAP1,0.72289164,0.446899679,0.900057034
Q9NXP7,GIN1,0.144002552,0.065192597,0.696452271
Q9NY15,STAB1,0.199863772,0.411642301,0.859901727
Q9NY26,SLC39A1,0.869208718,0.459788595,0.791047628
Q9NYQ3,HAO2,0.543614861,0.975043924,0.590061719
Q9P0B6,CCDC167,0.218361231,0.42842648,0.047584178
Q9P0V9,10-Sep,0.574793282,0.194639324,0.457990202
Q9P270,SLAIN2,0.967029922,0.129277588,0.988765529
Q9P2D6,FAM135A,0.241766314,0.417419571,0.449162463
Q9P2E2,KIF17,0.388782627,0.459674983,0.380108455
Q9P2E9,RRBP1,0.350104529,0.002337201,0.423231695
Q9UBK9,UXT,0.713776358,0.088532005,0.924985175
Q9UBU8,MORF4L1,0.885524373,0.744063998,0.658312978
Q9UBW7,ZMYM2,0.037153935,0.197699917,0.491332891
Q9UHL0,DDX25,0.502712317,0.641496209,0.49523549
Q9UHL4,DPP7,0.839935265,0.242488703,0.17246969
Q9UHV9,PFDN2,0.514575628,0.328036011,0.386939395
Q9ULU8,CADPS,0.119714078,0.994562342,0.413047967
Q9ULW6,NAP1L2,0.803096597,0.715958148,0.490369572
Q9UMS6,SYNPO2,0.749041355,0.776948825,0.423447017
Q9UMY1,NOL7,0.312232849,0.836340798,0.65332273
Q9Y219,JAG2,0.949737331,0.158963984,0.322348034
Q9Y237,PIN4,0.594455825,0.359749603,0.556753208
Q9Y2B5,VPS9D1,0.623661684,0.738648751,0.866792277
Q9Y2J4,AMOTL2,0.858808169,0.091785179,0.490226628
Q9Y2K1,ZBTB1,0.635637546,0.902422531,0.144359555
Q9Y2X9,ZNF281,0.742564583,0.49531197,0.457205595
Q9Y320,TMX2,0.880030411,0.559058278,0.13557584
Q9Y3C1,NOP16,0.706799552,0.562856645,0.852855656
Q9Y3E1,HDGFRP3,0.482676498,0.697836691,0.569471126
Q9Y3M2,CBY1,0.531200361,0.535407173,0.642856389
Q9Y3T9,NOC2L,0.083201801,0.68405313,0.573837688
Q9Y5P8,PPP2R3B,0.566540143,0.918789934,0.965571635
Q9Y5Q3,MAFB,0.510717181,0.035825864,0.828754782
Q9Y680,FKBP7,0.106413591,0.81715896,0.888334937
Q9Y694,SLC22A7,0.586507388,0.557714512,0.710619078
Q9Y6A9,SPCS1,0.859888885,0.957999053,0.35388029
Q9Y6V0,PCLO,0.094559063,0.419468115,0.620515591
O95999,BCL10,0.155549134,0.287272542,0.842766023
O43927,CXCL13,0.138338445,0.398017686,0.957408282
P09341,CXCL1,0.954078719,0.185076031,0.544575424
P47992,XCL1,0.987742388,0.330282547,0.271649853
P52848,NDST1,0.476097499,0.402598053,0.955882292
Q15223,NECTIN1,0.70068334,0.662780772,0.709025799
Q14676,MDC1,0.397783684,0.142359102,0.933534481
Q9Y572,RIPK3,0.831436411,0.709980758,0.447959742
Q9UJY4,GGA2,0.508762291,0.020801973,0.47362033
Q9UJY5,GGA1,0.414542913,0.686624606,0.090980151
P07305,H1F0,0.702097401,0.962696055,0.363085094
Q96RL1,UIMC1,0.713367569,0.464287788,0.776531404
P54132,BLM,0.912113479,0.37441602,0.498926016
P14672,SLC2A4,0.583207642,0.917622773,0.574679168
P38398,BRCA1,0.44393094,0.515673708,0.060170085
Q96SB4,SRPK1,0.115244363,0.097725083,0.669047036
P78396,CCNA1,0.111103223,0.158072997,0.796565906
O14933,UBE2L6,0.105176534,0.875050356,0.99397429
O43513,MED7,0.861374861,0.400393194,0.475689621
P11387,TOP1,0.203813454,0.766261037,0.167767195
Q92956,TNFRSF14,0.484196217,0.838166012,0.561496245
P98179,RBM3,0.464750681,0.852103161,0.048645031
A8K1J0,,0.273263066,0.216585085,0.6567573
C3PTT6,PAUF,0.246633357,0.61296369,0.733994981
F8W7T7,ZNF44,0.269011014,0.814842242,0.7979115
O00189,AP4M1,0.924832092,0.758960584,0.047025703
O00327,ARNTL,0.708690018,0.061418553,0.400938625
O00339,MATN2,0.658326481,0.56250714,0.719773582
O00410-3,,0.377731662,0.826617677,0.014105238
O00585,CCL21,0.552188149,0.61126698,0.479575407
O00754,MAN2B1,0.222039441,0.402185501,0.118727592
O14530,TXNDC9,0.27769761,0.302651795,0.553852463
O14595,CTDSP2,0.345653822,0.044713484,0.293588585
O14640-2,,0.903068411,0.172273422,0.362304618
O14733,MAP2K7,0.313681989,0.403389292,0.69502838
O14770,MEIS2,0.201284553,0.129983832,0.527976436
O14908,GIPC1,0.911555428,0.778481778,0.517410123
O14909,DLG4,0.724319558,0.795612675,0.179331652
O14936,CASK,0.450750253,0.438066811,0.745212354
O15078,CEP290,0.21608103,0.834349985,0.538370768
O15151,MDM4,0.399796878,0.408161318,0.347757288
O15287,FANCG,0.871261339,0.368050802,0.369986892
O15304,SIVA1,0.850453775,0.57286329,0.532273862
O15444,CCL25,0.21884221,0.794685338,0.65483723
O43159,RRP8,0.095972362,0.574613577,0.916837427
O43166,SIPA1L1,0.06651895,0.192393149,0.5368379
O43255,SIAH2,0.97897368,0.650006496,0.405820505
O43291,SPINT2,0.545583855,0.304763711,0.558064748
O43683,BUB1,0.658550916,0.907901681,0.408759789
O43684,BUB3,0.809922367,0.449683988,0.879247915
O60870,KIN,0.228535004,0.724285819,0.649202226
O60879-2,,0.343647416,0.69179722,0.909158329
O75197,LRP5,0.461893725,0.459114886,0.540785505
O75348,ATP6V1G1,0.19459627,0.095179506,0.221034405
O75387,SLC43A1,0.881697294,0.165671369,0.971753983
O75674,TOM1L1,0.21326966,0.126151527,0.404801665
O94842,TOX4,0.312727154,0.78193783,0.425425652
O94875-2,,0.64930261,0.054794323,0.68282934
O94913,PCF11,0.625137256,0.385725676,0.821196725
O94953,KDM4B,0.87334068,0.627525956,0.687640332
O94972,TRIM37,0.796241454,0.952535195,0.931952709
O94983,CAMTA2,0.45295276,0.303415118,0.037072619
O95476,CTDNEP1,0.425282067,0.279863584,0.258889627
O95602,POLR1A,0.198063235,0.412982081,0.79821828
O96020,CCNE2,0.708320009,0.690956161,0.656987599
P00439,PAH,0.77534068,0.009551232,0.309881987
P00740,F9,0.301042766,0.612300873,0.719440414
P02538,KRT6A,0.868541995,0.397075702,0.2853727
P02545-3,,0.247303755,0.316839803,0.124379387
P02671-2,,0.556126259,0.548557057,0.478157231
P02751-10,,0.861046653,0.612878645,0.333022838
P02751-3,,0.85177259,0.375737869,0.623814675
P02760,AMBP,0.599070407,0.481579994,0.274690331
P02776,PF4,0.637295319,0.511058131,0.781338557
P07900-2,,0.126224622,0.364244231,0.295849636
P07910-2,,0.068204967,0.893562903,0.215405285
P09493,TPM1,0.581656946,0.536780698,0.114998824
P09619,PDGFRB,0.290445326,0.165271359,0.476905926
P09884,POLA1,0.557475336,0.188908695,0.577023661
P09914,IFIT1,0.907191839,0.418417567,0.905066634
P0C0L5,C4B,0.784170288,0.804723644,0.482918544
P10144,GZMB,0.783429354,0.06898209,0.050008795
P10826-2,,0.456604163,0.923239213,0.123886013
P11310,ACADM,0.65208747,0.242741883,0.296066589
P11532,DMD,0.555128246,0.43920803,0.500174059
P12259,F5,0.826385595,0.117225332,0.675687742
P13797,PLS3,0.767278568,0.006300509,0.407169002
P17482,HOXB9,0.843776355,0.838377015,0.495536945
P18887,XRCC1,0.238406618,0.529852946,0.806798893
P19012,KRT15,0.346277686,0.385415292,0.363943344
P19013,KRT4,0.908258288,0.427610674,0.394698303
P20585,MSH3,0.454323419,0.065652348,0.227654617
P20718,GZMH,0.935927852,0.5000603,0.66697178
P21333-2,,0.416082754,0.348486947,0.876848161
P21860,ERBB3,0.526756496,0.979969104,0.563732
P23508,MCC,0.869769895,0.449342542,0.479105668
P26045,PTPN3,0.147619288,0.408428515,0.415549632
P27449,ATP6V0C,0.258367614,0.967533432,0.544322531
P28290-3,,0.118935759,0.573867945,0.685930377
P28347,TEAD1,0.65859609,0.708687446,0.868131458
P28370,SMARCA1,0.71653411,0.867106578,0.512587245
P29144,TPP2,0.305931127,0.161282528,0.206625689
P29375,KDM5A,0.048639636,0.428636408,0.569813727
P30281,CCND3,0.040306318,0.304367155,0.260953323
P30443,HLA-A,0.293440753,0.606302256,0.223764613
P30622,CLIP1,0.678521159,0.921233778,0.198135151
P30622-1,,0.557035193,0.200289642,0.695220392
P31249,HOXD3,0.922105317,0.497442256,0.762070727
P32243,OTX2,0.513291584,0.337945869,0.961507165
P33992,MCM5,0.995800158,0.571623456,0.896519743
P35568,IRS1,0.621746577,0.754981803,0.600655405
P35659,DEK,0.001128592,0.939164528,0.42890161
P35711,SOX5,0.066281335,0.238814465,0.518662534
P35749,MYH11,0.652669924,0.602935035,0.860959056
P36956-4,,0.338977345,0.092380332,0.51023164
P37231-2,,0.470899356,0.283143284,0.137185376
P41235-2,,0.798926807,0.845395288,0.277799195
P42331,ARHGAP25,0.89893488,0.856542717,0.962741338
P42680,TEC,0.89051377,0.405235954,0.771662659
P43268,ETV4,0.328763066,0.847119486,0.299712973
P48960-2,,0.371129249,0.046583712,0.271243055
P49321,NASP,0.631583688,0.036297923,0.37345772
P49715,CEBPA,0.669982891,0.991317343,0.810257231
P49815,TSC2,0.517417206,0.350542217,0.119144531
P49959,MRE11A,0.464465392,0.98935363,0.717814409
P50570,DNM2,0.887769944,0.188888578,0.797907382
P52701,MSH6,0.100552239,0.790302258,0.216517029
P52742,ZNF135,0.251790148,0.236328292,0.948824503
P52756,RBM5,0.294181895,0.148566739,0.759420346
P54259,ATN1,0.997623043,0.074533284,0.982184172
P55287,CDH11,0.204612268,0.273219485,0.834700745
P55916,UCP3,0.833169935,0.578371422,0.069734773
P55957,BID,0.737386764,0.013838552,0.234299156
P56962,STX17,0.03980168,0.279140967,0.5511493
P78504,JAG1,0.354474413,0.307574486,0.41515803
P78560,CRADD,0.764426239,0.836420084,0.113403037
P82932,MRPS6,0.932457745,0.295395902,0.465656059
Q01082-3,,0.445069149,0.231621808,0.840364001
Q01085,TIAL1,0.941875772,0.729914157,0.930399964
Q01105-2,,0.884148212,0.734432485,0.122971081
Q01860,POU5F1,0.466759318,0.291788616,0.895954622
Q02833,RASSF7,0.361087658,0.388580494,0.024100547
Q03001-8,,0.502055027,0.366132577,0.945180301
Q03112,MECOM,0.456803232,0.647336203,0.130295595
Q05516,ZBTB16,0.097988824,0.118455212,0.77426383
Q06033,ITIH3,0.508746552,0.976053182,0.330568942
Q07687,DLX2,0.345876644,0.197126054,0.975983564
Q12840,KIF5A,0.551401007,0.325146237,0.445361953
Q12857,NFIA,0.548052829,0.770483089,0.339472471
Q13064,MKRN3,0.549825163,0.390883095,0.034428897
Q13105,ZBTB17,0.116491981,0.749541737,0.60328335
Q13127,REST,0.192169582,0.110016359,0.592884758
Q13158,FADD,0.749079763,0.01313748,0.785906661
Q13232,NME3,0.60320833,0.738020305,0.024996775
Q13309,SKP2,0.802062743,0.935685493,0.791410307
Q13415,ORC1,0.757710011,0.478789637,0.125567037
Q13416,ORC2,0.195158226,0.877995176,0.115424401
Q13426,XRCC4,0.250102845,0.078710837,0.528943794
Q13451,FKBP5,0.797814803,0.085633265,0.154309087
Q13794,PMAIP1,0.974104516,0.898883858,0.0745438
Q14160,SCRIB,0.862355641,0.138340501,0.562029525
Q14188,TFDP2,0.090589234,0.521600387,0.842125668
Q14209,E2F2,0.574525128,0.479820281,0.623830833
Q15038,DAZAP2,0.379918069,0.048798394,0.550858053
Q15287,RNPS1,0.28709507,0.905153307,0.973071944
Q15554,TERF2,0.612034361,0.786878921,0.93206062
Q16236,NFE2L2,0.866196155,0.350861028,0.829798705
Q16665,HIF1A,0.853620519,0.662864109,0.081379922
Q2M3G4-2,,0.188182359,0.794033338,0.632621526
Q33E94,RFX4,0.668824469,0.868681856,0.014167638
Q3MJ40,CCDC144B,0.722226815,0.413041873,0.8971009
Q4V328,GRIPAP1,0.493962611,0.350903187,0.344752694
Q53G59,KLHL12,0.77639298,0.802778737,0.984710948
Q53HC0,CCDC92,0.181886003,0.035954691,0.297691578
Q53X12,,0.571560996,0.521021225,0.803260475
Q5H9K5,ZMAT1,0.532772143,0.284042234,0.751139885
Q5JSB6,TFDP1,0.344890544,0.564672371,0.52518025
Q5JSZ5,PRRC2B,0.600451998,0.745214822,0.28578782
Q5JU67,C9orf117,0.247117721,0.890371281,0.294530861
Q5M9N0,CCDC158,0.436813874,0.603200257,0.112730106
Q5M9Q1,NKAPL,0.960450555,0.579783266,0.084296753
Q5SYE7,NHSL1,0.67125955,0.316476708,0.017833819
Q5T8I9,HENMT1,0.769793088,0.516246031,0.784236794
Q5VSY0-2,,0.578106994,0.979914408,0.543840648
Q5VU43-2,,0.966777231,0.831480505,0.949660515
Q5VV67,PPRC1,0.34416167,0.22776193,0.118812154
Q5W0Q7,USPL1,0.840831255,0.582070166,0.659041291
Q5W5X9,TTC23,0.644923959,0.34563538,0.118179247
Q659C4,LARP1B,0.983673488,0.055824294,0.476930345
Q66K89,E4F1,0.6849206,0.745087438,0.84465039
Q66PJ3,ARL6IP4,0.775979215,0.826894717,0.776535938
Q68CP9,ARID2,0.564786373,0.137677249,0.967273435
Q69YQ0,SPECC1L,0.130658281,0.376328994,0.89612592
Q6NYC8,PPP1R18,0.108686431,0.348706672,0.538097446
Q6P2I0,USP10,0.051319471,0.478615575,0.865881437
Q6P597,KLC3,0.606988087,0.289086483,0.603340491
Q6PEX3,KRTAP26-1,0.866202436,0.151538788,0.271277618
Q6PF05,TTC23L,0.129800219,0.259608845,0.687679714
Q6PF18,MORN3,0.611460316,0.786238796,0.788075031
Q6UXV4,APOOL,0.645825656,0.4612883,0.438500411
Q6ZTR7,FAM92B,0.492320783,0.583827514,0.86113855
Q6ZU65,UBN2,0.416481765,0.933203095,0.717491984
Q6ZUT1,C11orf57,0.00437741,0.605998667,0.854090808
Q6ZVK8,NUDT18,0.580932887,0.936293312,0.167100921
Q719H9,KCTD1,0.294261247,0.481052788,0.843237774
Q76N89,HECW1,0.219343185,0.990248189,0.619902544
Q7L2R6,ZNF765,0.269209833,0.41191301,0.589447097
Q7Z3E2,CCDC186,0.492566249,0.082881417,0.778421411
Q7Z3K3,POGZ,0.608378355,0.409938801,0.25723258
Q7Z3K3-2,,0.497349081,0.440190263,0.324637266
Q7Z3S9,NOTCH2NL,0.848697925,0.063321587,0.592811769
Q7Z429,GRINA,0.107964983,0.973826545,0.184773686
Q7Z5R6,APBB1IP,0.45454658,0.983229778,0.95237354
Q7Z6G3,NECAB2,0.372490831,0.969905435,0.540814654
Q86T75,NBPF11,0.909894643,0.444020449,0.974209022
Q86V48,LUZP1,0.832109426,0.1851657,0.082829945
Q86VE9,SERINC5,0.229441315,0.562428222,0.180766462
Q86W92-2,,0.674564976,0.441114481,0.120268449
Q8IUF8,MINA,0.293008469,0.350729668,0.203812828
Q8IVT2,MISP,0.85107376,0.45547088,0.105652652
Q8IWB9-2,,0.37046743,0.271612787,0.322675196
Q8IWZ3-2,,0.110014584,0.78505867,0.272212983
Q8IXK0,PHC2,0.163716556,0.350095934,0.973792941
Q8IYF3,TEX11,0.923580431,0.521472604,0.113919993
Q8IZ21-2,,0.820949064,0.603961373,0.005154935
Q8IZQ1,WDFY3,0.679996968,0.814925222,0.166453772
Q8N4L8,CCDC24,0.744514128,0.937144778,0.410420389
Q8N5F7,NKAP,0.752839797,0.504839564,0.251015969
Q8N5G2,TMEM57,0.487360706,0.739524291,0.36083699
Q8N720,ZNF655,0.184315624,0.373484126,0.911599952
Q8N883,ZNF614,0.762872092,0.918125615,0.864190384
Q8N8U9,BMPER,0.666397767,0.493181925,0.884733913
Q8NA29-2,,0.175121367,0.393818876,0.895452834
Q8NB25,FAM184A,0.029478824,0.107179038,0.082008624
Q8ND30,PPFIBP2,0.261464974,0.481569635,0.00536038
Q8NFH5,NUP35,0.772923592,0.386459878,0.789334104
Q8TAE8,GADD45GIP1,0.468999714,0.399242808,0.697638435
Q8TCN5,ZNF507,0.195363327,0.153560569,0.057450713
Q8TCT4,PMSP,0.016101113,0.235308399,0.134938672
Q8TEL6,TRPC4AP,0.885343159,0.100753448,0.676612992
Q8WUI4,HDAC7,0.77285243,0.476054248,0.371513194
Q8WW24,TEKT4,0.934122465,0.489140367,0.498790404
Q8WW34,TMEM239,0.167162528,0.454544741,0.561913619
Q8WXE1,ATRIP,0.705456699,0.507120194,0.331830733
Q8WXU2,DYX1C1,0.158802097,0.232122976,0.435104015
Q92546,RGP1,0.711353166,0.074661692,0.140853229
Q92547,TOPBP1,0.203022958,0.387101717,0.105153847
Q92558,WASF1,0.845074631,0.651233588,0.603121512
Q92748,THRSP,0.691949873,0.539867144,0.284040727
Q92882,OSTF1,0.551655804,0.453762976,0.984059031
Q969F0,FATE1,0.962592378,0.394302866,0.78499011
Q969H6,POP5,0.492644749,0.115456783,0.836893094
Q96AE4,FUBP1,0.819975398,0.414992209,0.809839351
Q96BZ8,LENG1,0.504960003,0.675412295,0.301212656
Q96CN5,LRRC45,0.143007071,0.226386794,0.444893354
Q96EA4,SPDL1,0.411168315,0.171739828,0.93924271
Q96EQ8,RNF125,0.685144482,0.688030689,0.067392045
Q96F86,EDC3,0.32206378,0.522649821,0.652518884
Q96G01,BICD1,0.060069283,0.737100637,0.908867065
Q96GD3,SCMH1,0.934762321,0.540661726,0.285590598
Q96GM5,SMARCD1,0.729821686,0.464739006,0.908901404
Q96HA8,WDYHV1,0.428881879,0.062656405,0.804734459
Q96KQ7-2,,0.478155774,0.392901505,0.490668506
Q96KR1,ZFR,0.088250131,0.109683257,0.539378994
Q96L92,SNX27,0.772872544,0.279768652,0.96367741
Q96Q89-3,,0.609288226,0.075605097,0.300953574
Q96QZ7,MAGI1,0.96337496,0.016744123,0.847707336
Q96RI1-2,,0.234763154,0.628452267,0.786638435
Q96S94,CCNL2,0.888784589,0.673954151,0.49237274
Q96SB8,SMC6,0.797981612,0.144395172,0.464524913
Q96SN8,CDK5RAP2,0.995742541,0.551903855,0.957677533
Q96ST8,CEP89,0.118046622,0.911392444,0.452622837
Q99497,PARK7,0.58152705,0.233190953,0.450980833
Q99741,CDC6,0.246620975,0.019225026,0.881262023
Q99966,CITED1,0.486914136,0.326140102,0.349267272
Q99996-2,,0.928977531,0.550734824,0.461587929
Q9BPX1,HSD17B14,0.117241376,0.979467018,0.997023801
Q9BRJ6,C7orf50,0.669123059,0.326124076,0.759525214
Q9BRP8,PYM1,0.192363532,0.859460671,0.464275452
Q9BSL1,UBAC1,0.6424744,0.14837904,0.566989215
Q9BSW2,CRACR2A,0.281718856,0.477188718,0.859741593
Q9BUQ8,DDX23,0.656784164,0.144184089,0.246802926
Q9BV36,MLPH,0.534032471,0.632498512,0.795757817
Q9BV90,SNRNP25,0.552629865,0.665162322,0.429085942
Q9BVJ6,UTP14A,0.107363463,0.591230413,0.241167269
Q9BXH1,BBC3,0.06186717,0.816154288,0.105533981
Q9BXL7,CARD11,0.329311723,0.811782706,0.865662279
Q9BY27,DGCR6L,0.693477431,0.13826057,0.545957006
Q9BYC9,MRPL20,0.539327684,0.074555499,0.761312398
Q9BZR8,BCL2L14,0.96724121,0.72692626,0.689201835
Q9C086,INO80B,0.343631982,0.23400281,0.719329984
Q9GZM7,TINAGL1,0.42315831,0.616832585,0.173733767
Q9GZT8,NIF3L1,0.589694227,0.917157063,0.741490935
Q9GZU2,PEG3,0.508531148,0.106759341,0.010033322
Q9H0B3,KIAA1683,0.453438591,0.549982853,0.76667896
Q9H171,ZBP1,0.645391949,0.164050159,0.564907771
Q9H1Q7,PCED1A,0.65441945,0.593778918,0.672579268
Q9H204,MED28,0.249100404,0.722495547,0.386344243
Q9H270,VPS11,0.6178113,0.658970898,0.987174954
Q9H2P0,ADNP,0.416522194,0.4577397,0.796119841
Q9H4K1,RIBC2,0.177192217,0.485716459,0.799534768
Q9H668,OBFC1,0.453053396,0.167098215,0.792317908
Q9H7J1,PPP1R3E,0.927066055,0.045397385,0.445100805
Q9H814,PHAX,0.613268794,0.469728663,0.291384358
Q9HAQ2,KIF9,0.94870483,0.492818574,0.224769752
Q9HBE1,PATZ1,0.258631396,0.918799869,0.938002178
Q9HCM1,KIAA1551,0.370833922,0.140109967,0.919954518
Q9HD26,GOPC,0.770030546,0.286292511,0.634744065
Q9NP64,ZCCHC17,0.462343383,0.534202804,0.877601454
Q9NP87,POLM,0.182665306,0.461556561,0.945961065
Q9NPG4,PCDH12,0.147003022,0.236039132,0.801913281
Q9NPI7,KRCC1,0.123411098,0.128578798,0.029944554
Q9NRJ3,CCL28,0.364279822,0.442119008,0.579446575
Q9NS15,LTBP3,0.123180436,0.281820505,0.500479695
Q9NSA3,CTNNBIP1,0.388087877,0.570577194,0.4490149
Q9NVR5,DNAAF2,0.941106722,0.846097524,0.260670394
Q9NWC5,TMEM45A,0.991678822,0.083925423,0.60585085
Q9NWQ4,GPATCH2L,0.080241336,0.58980584,0.031831297
Q9NXG0-2,,0.143929329,0.080803272,0.646258693
Q9NY74,ETAA1,0.810015961,0.078613632,0.889408405
Q9NYW8,RBAK,0.301224746,0.784367757,0.854913871
Q9NZ09,UBAP1,0.073603645,0.999788455,0.235032388
Q9NZD8,SPG21,0.777812808,0.694195179,0.487949568
Q9NZV1,CRIM1,0.005817503,0.251066367,0.518614372
Q9P0J7,KCMF1,0.439185874,0.845159828,0.710844822
Q9P0T4,ZNF581,0.851385562,0.604841034,0.792039263
Q9P2M7,CGN,0.799649332,0.278889519,0.864619886
Q9UBB9,TFIP11,0.578088618,0.489349172,0.223099527
Q9UBF8,PI4KB,0.866560047,0.582107225,0.145842087
Q9UGI0,ZRANB1,0.215644848,0.159536498,0.606273903
Q9UH92,MLX,0.061143626,0.247976049,0.718573313
Q9UHC7,MKRN1,0.062620717,0.76066513,0.212105627
Q9UHX1,PUF60,0.835805253,0.525849474,0.499487055
Q9UI14,RABAC1,0.611467969,0.235326978,0.474194152
Q9UIK5,TMEFF2,0.831546358,0.16295023,0.178320727
Q9UKL3,CASP8AP2,0.424200929,0.010131292,0.574927869
Q9UL03,INTS6,0.615166282,0.535869751,0.947800477
Q9ULD8,KCNH3,0.64559589,0.917470357,0.708539025
Q9UQF2,MAPK8IP1,0.441281067,0.693876898,0.827554008
Q9Y244,POMP,0.832619991,0.875552617,0.452373834
Q9Y258,CCL26,0.083450855,0.42471268,0.221487684
Q9Y295,DRG1,0.732609822,0.704439397,0.698537652
Q9Y2T1,AXIN2,0.244878702,0.194523043,0.218375744
Q9Y463,DYRK1B,0.728920367,0.273200065,0.181285724
Q9Y4B4,RAD54L2,0.45107619,0.471125139,0.748498816
Q9Y5X1,SNX9,0.066573251,0.876498911,0.521164054
Q9Y6X2,PIAS3,0.665332268,0.196278133,0.67683171
P01111,NRAS,0.220845709,0.650252843,0.461180851
Q15750,TAB1,0.057527534,0.79031786,0.705420118
P61923,COPZ1,0.586682101,0.98638107,0.125477505
Q7KZI7,MARK2,0.860083938,0.271024569,0.826148089
Q8N4Q1,CHCHD4,0.900799453,0.397949172,0.78342941
P09086,POU2F2,0.011817627,0.428001962,0.532801171
O00429,DNM1L,0.32685419,0.7576087,0.240755157
Q96CW5,TUBGCP3,0.761896863,0.990968746,0.14240135
O95433,AHSA1,0.900779131,0.010632425,0.621915036
Q15054,POLD3,0.072678245,0.441108736,0.729686886
Q9BSJ2,TUBGCP2,0.731603961,0.324984975,0.793889844
Q9Y2Z0,SUGT1,0.152654666,0.833143435,0.915573117
P18754,RCC1,0.51055988,0.91741923,0.96616218
P09001,MRPL3,0.871297452,0.208061114,0.524495458
P14406,COX7A2,0.469332931,0.814906444,0.332194235
P26358,DNMT1,0.372097257,0.138261502,0.922633848
P04626,ERBB2,0.151346875,0.57087722,0.082395961
P33897,ABCD1,0.772677673,0.244978609,0.028172075
Q9UPN7,PPP6R1,0.530351226,0.5826401,0.576505298
Q9NZ52,GGA3,0.205892054,0.272679654,0.05477492
P42345,MTOR,0.466382701,0.467370414,0.732455497
Q06136,KDSR,0.097072112,0.553569826,0.615042302
P16401,HIST1H1B,0.811818452,0.32267379,0.769034942
P42858,HTT,0.205084189,0.35385009,0.08701368
P29218,IMPA1,0.875039682,0.807301349,0.779401257
Q9NZN8,CNOT2,0.635939596,0.436946873,0.083927205
Q9Y3D6,FIS1,0.53170866,0.726133465,0.907732393
